,CC_mean,CC_std,AUC_mean,AUC_std,sAUC_mean,sAUC_std,KLD_mean,KLD_std,SIM_mean,SIM_std,NSS_mean,NSS_std,IG_mean,IG_std
Action,0.3260333737467256,0.043259683054562396,0.8554672188464505,0.035083835773208706,0.4160142421699125,0.06002220103067282,8.297801043199959,0.06885831482263574,0.342435344372409,0.0422020258901745,1.1773251295089722,0.17489804327487946,0.08334913890313249,0.14834337387286092
Affective,0.31840984958399204,0.06683809183809183,0.8663671272183644,0.0503805386644291,0.44092219775999936,0.08985627532534868,8.26539114189876,0.10660224647176493,0.30820401131569247,0.056546167110302935,1.2413567304611206,0.26365092396736145,0.13805828397173245,0.23801931313099017
Art,0.3575014734422556,0.046627890941149545,0.8966770351080248,0.024248917577501947,0.49932614803253506,0.050084125839105216,8.313829758458292,0.07585904275970316,0.3628903526204696,0.051263962145640087,1.255371332168579,0.15958118438720703,0.17331233814797803,0.14974273551841433
BlackWhite,0.360514327942948,0.046193624162404266,0.9118527199074075,0.02918686670695205,0.5321542336184018,0.06856890068821705,8.253207880513706,0.1025104204322389,0.32642326897542995,0.032544848863016104,1.4262341260910034,0.24886548519134521,0.2916330998303146,0.17661870387473988
Cartoon,0.3109622728487114,0.07140444471241698,0.8375118272569445,0.060639818530705436,0.3956723943285773,0.09244581412693109,8.38678331792821,0.11203118267588809,0.3577207217352864,0.029298916262178523,1.0881773233413696,0.29736578464508057,-0.016037833147020654,0.2526989617761845
Fractal,0.36150748551589096,0.060148580719799276,0.9031051552854936,0.03343680119834438,0.5148193709081986,0.06621230573651049,8.340172239625272,0.12348723235371285,0.3621725384573524,0.023054393333655072,1.3180347681045532,0.21972081065177917,0.19821228650979208,0.16989826518330886
Indoor,0.35258233310399756,0.04270809659424883,0.8713419174382715,0.03859690047599543,0.46260599424774684,0.07251560985023203,8.34348921801477,0.09257258007966933,0.38016069525594165,0.04963535382483363,1.1457635164260864,0.22607199847698212,0.08331392383918504,0.2118754928188283
Inverted,0.3748380886577152,0.04140476379516324,0.9010809220679012,0.01788155927293019,0.5055167763008364,0.036992586035508555,8.31089100884579,0.056982590654050334,0.36678000790123,0.049619837145242186,1.2687733173370361,0.12117791175842285,0.19626488367136555,0.09616708371672242
Jumbled,0.35612575039600747,0.041948851798256956,0.8676123288001543,0.030763728793846857,0.4442923835158907,0.05156315208658637,8.31561985582744,0.07662357496594474,0.410808011107588,0.045579322830829654,1.101001501083374,0.15663202106952667,0.045964324422425484,0.14747114066225875
LineDrawing,0.3720452715578704,0.050841476693561816,0.899489269868827,0.02628922415287092,0.5030102282384082,0.047353251921811446,8.350482372516108,0.07080750088206901,0.3625912041550733,0.030736682202139723,1.2851165533065796,0.1467740684747696,0.18999076581758398,0.11752232930613257
LowResolution,0.36258623374902194,0.05276851556182686,0.9233828486689815,0.02881702974594751,0.5627410966316584,0.07101771085665919,8.475665036348644,0.09722636104858698,0.30443710900063664,0.034009559835381446,1.4970465898513794,0.2685439884662628,0.3330049361856358,0.17740904390758186
Noisy,0.37362564816114163,0.03441216570344578,0.9184928988233025,0.01743316016170599,0.5472460105511883,0.03794895174855883,8.427888566039586,0.10556518886302806,0.33205784427950025,0.03878290670593248,1.405961275100708,0.13640457391738892,0.26709181390247416,0.12151174023287685
Object,0.26720091045812744,0.05874000166578662,0.856349838445216,0.060432090044648154,0.5182533960681127,0.09744396114425607,8.404798751467736,0.12805856394462609,0.2886171787739006,0.03730965388090347,1.0354015827178955,0.22729173302650452,0.14732219966423593,0.24709684760939957
OutdoorManMade,0.3677794993042208,0.058582777229718955,0.893562210648148,0.032122130957182506,0.48231749974830923,0.07188548909269961,8.259446178101765,0.11158256707487894,0.382623433947498,0.04548793785089862,1.3030502796173096,0.23544517159461975,0.16922467368340693,0.18636203988874378
OutdoorNatural,0.3706324217006938,0.054343077472435684,0.9137273099922838,0.01360726221644815,0.5306863615924673,0.03407703512402755,8.32288553740798,0.105199816539546,0.35466320976443,0.042134987092459934,1.3741991519927979,0.13482359051704407,0.2554783590308354,0.1000647190978239
Pattern,0.3696237061134901,0.04559759028643635,0.9209004509066357,0.021727305686188147,0.5542594213568931,0.05487321360395049,8.381834405995184,0.09742323487549999,0.3227805191587786,0.03952613767671266,1.4598522186279297,0.1996106207370758,0.332053857871779,0.12622710840434062
Random,0.3297504272539066,0.05279104884055398,0.8924537519290123,0.02765483550672897,0.4916943529859793,0.05575990407665357,8.316847015102711,0.092022757498592,0.31595136748423913,0.027576573249393038,1.2491884231567383,0.19131481647491455,0.15964761664412216,0.17690540793351658
Satelite,0.3454046650581936,0.05315503125546702,0.8801160059799382,0.027692200048869804,0.4639717468204241,0.048792626010533864,8.382928866976982,0.08301979368472576,0.39834902889823537,0.029521663601906833,1.1405766010284424,0.14717604219913483,0.04371685415208866,0.13955481311511675
Sketch,0.3711825195543262,0.05073662342730684,0.9290174937307099,0.022716127419974374,0.5709562716699651,0.06292680106969199,8.278621942280733,0.09557542417842438,0.2599153416730676,0.03273036653449297,1.6363931894302368,0.19794726371765137,0.43438521344851433,0.13409387409670379
Social,0.25327071546140595,0.050577283385771186,0.828215591242284,0.05962469266599003,0.45623400144821724,0.09488852111057094,8.316150402294788,0.09423540305806737,0.31501906443190675,0.03792140699385967,0.9175779223442078,0.22083620727062225,0.06583462900765928,0.16010058835012253
GLOBAL,0.3450788486805321,0.05115398095692022,0.8883361961082177,0.032916751280023436,0.49463470639968604,0.0632614218239263,8.337236726942221,0.09481218984318263,0.34273001266543324,0.03877413515149768,1.2663201093673706,0.19870659708976746,0.17959106827786203,0.16388417912483333
