,epoch,timestamp,learning_rate,loss,validation_IG,validation_LL,validation_AUC,validation_NSS
1,1,2024-11-13 03:41:55.890440,0.0001,13.635864298343659,3.060648,-13.575498,0.8658501701856891,2.499343
2,2,2024-11-13 03:57:43.027350,0.0001,13.560338568687438,3.0756128,-13.560534,0.8676692166301954,2.5822582
3,3,2024-11-13 04:13:34.647018,0.0001,13.550200817584992,3.071302,-13.564845,0.8671017808032221,2.600711
4,4,2024-11-13 04:29:25.350296,0.0001,13.543177723884583,3.078374,-13.557773,0.8682255371580306,2.6892438
5,5,2024-11-13 04:45:17.536255,0.0001,13.536489844322205,3.072455,-13.563691,0.868141576623895,2.6424706
6,6,2024-11-13 05:01:07.411047,0.0001,13.537081966400146,3.07239,-13.563757,0.8671756355457032,2.6249883
7,7,2024-11-13 05:16:59.514577,0.0001,13.529621793031692,3.0740283,-13.5621195,0.8684432199626664,2.6203797
8,8,2024-11-13 05:32:50.583693,0.0001,13.530046488046645,3.073664,-13.562483,0.8675488274643756,2.6393518
9,9,2024-11-13 05:48:41.326198,0.0001,13.527482265233994,3.0655777,-13.570569,0.8669201495719223,2.6007862
10,10,2024-11-13 06:04:29.613458,1e-05,13.52217398405075,3.069371,-13.566775,0.8677802415585139,2.6305697
11,11,2024-11-13 06:20:16.473257,1e-05,13.515673884153365,3.079226,-13.55692,0.8687830670052147,2.7136621
12,12,2024-11-13 06:36:02.903692,1e-05,13.51312295794487,3.0779974,-13.558149,0.8685050028713432,2.6971276
13,13,2024-11-13 06:51:49.387701,1e-05,13.515415588617325,3.0734909,-13.562656,0.8679797454642155,2.6740954
14,14,2024-11-13 07:07:35.352269,1e-05,13.513469659090042,3.0767987,-13.559348,0.8682939526179143,2.719626
15,15,2024-11-13 07:23:21.960351,1e-05,13.516450324058532,3.0769842,-13.559162,0.8684016066068003,2.709173
16,16,2024-11-13 07:39:06.592905,1e-05,13.513652404546738,3.0722656,-13.563881,0.8678990089429461,2.6639106
17,17,2024-11-13 07:54:52.775022,1e-05,13.512179188728332,3.0808606,-13.555285,0.8687833453504357,2.7349033
18,18,2024-11-13 08:10:44.366029,1e-05,13.511324272155761,3.0767548,-13.559392,0.8681848236607905,2.70797
19,19,2024-11-13 08:26:30.201287,1e-05,13.511737709045411,3.0769324,-13.559214,0.8684144267718003,2.7055163
20,20,2024-11-13 08:42:25.891555,1e-05,13.51032582640648,3.0713274,-13.564819,0.8678399105780471,2.673963
21,21,2024-11-13 08:58:24.737640,1e-05,13.511984090805054,3.076232,-13.559915,0.86836258313612,2.7097552
22,22,2024-11-13 09:14:09.633756,1e-05,13.510461940765381,3.0751257,-13.561021,0.8680671049481873,2.692037
23,23,2024-11-13 09:29:55.448220,1.0000000000000002e-06,13.50863168001175,3.0745478,-13.561599,0.8683544825160544,2.6892595
24,24,2024-11-13 09:45:42.080488,1.0000000000000002e-06,13.505889028310776,3.0727274,-13.563419,0.8682112502037199,2.6752856
25,25,2024-11-13 10:01:27.554789,1.0000000000000002e-06,13.50918352484703,3.0757318,-13.560415,0.8685316934947457,2.6953242
26,26,2024-11-13 10:17:13.248130,1.0000000000000002e-06,13.51183058142662,3.0729358,-13.563211,0.8678452983786725,2.6756835
27,27,2024-11-13 10:32:59.030424,1.0000000000000002e-06,13.509883776903152,3.072176,-13.563971,0.8680222189893274,2.6674187
28,28,2024-11-13 10:48:45.605436,1.0000000000000002e-06,13.509777184724808,3.0776997,-13.558446,0.868370599204068,2.7143478
29,29,2024-11-13 11:04:37.741928,1.0000000000000002e-07,13.508995815515519,3.0760508,-13.560095,0.868330140812383,2.700946
